id,name,reactorsNumber,lat,long,coolingType,coolingPlace
BELLEVILLE,Belleville,2,47.5063,2.875,RIVER,Loire
BLAYAIS,Blayais,4,45.2527,-0.6908,RIVER,Gironde
BUGEY,Bugey,4,45.7948,5.2709,RIVER,Rhône
CATTENOM,Cattenom,4,49.4125,6.2181,RIVER,Moselle
CHINON,Chinon B,4,47.2273,0.1703,RIVER,Loire
CHOOZ,Chooz B,2,50.0868,4.7906,RIVER,Meuse
CIVAUX,Civaux,2,46.4532,0.6528,RIVER,Vienne
CRUAS,Cruas,4,44.6296,4.7567,RIVER,Rhône
DAMPIERRE,Dampierre,4,47.7297,2.5167,RIVER,Loire
FLAMANVILLE,Flamanville,2,49.5331,-1.8818,SEA,Manche
GOLFECH,Golfech,2,44.1031,0.8453,RIVER,Garonne
GRAVELINES,Gravelines,6,51.0113,2.135,SEA,Mer du Nord
NOGENT,Nogent,2,48.5119,3.5179,RIVER,Seine
PALUEL,Paluel,4,49.8546,0.6353,SEA,Manche
PENLY,Penly,2,49.9729,1.2119,SEA,Manche
ST_ALBAN,Saint-Alban,2,45.401,4.7554,RIVER,Rhône
ST_LAURENT,Saint-Laurent,2,47.7206,1.5836,RIVER,Loire
TRICASTIN,Tricastin,4,44.3274,4.7315,RIVER,Rhône
