name,filiere,category,eicCode,plantId,reactorIndex,stage,thermalPower_MW,rawPower_MW,netPower_MW,buildStartDate,firstReactionDate,gridLinkDate,exploitationStartDate,moxAuthorizationDate,coolingTowerCount
AIGLE,Hydraulique lacs,HYDRO_WATER_RESERVOIR,,AIGLE,0,1 à 5,,,,360,,,,,,
AIGLE 6,Hydraulique lacs,HYDRO_WATER_RESERVOIR,,AIGLE,0,6,,,,146,,,,,,
AMFARD14,Gaz,FOSSIL_GAS,,AMFARD,14,,,,130,,,,,,
AMFARD15,Gaz,FOSSIL_GAS,,AMFARD,15,,,,130,,,,,,
ARAMON 1,Fioul,FOSSIL_OIL,,ARAMON,1,,,,685,,,,,,
ARAMON 2,Fioul,FOSSIL_OIL,,ARAMON,2,,,,685,,,,,,
ARRIGHI 1,Fioul,FOSSIL_OIL,,ARRIGHI,1,,,,125,,,,,,
ARRIGHI 2,Fioul,FOSSIL_OIL,,ARRIGHI,2,,,,129,,,,,,
ASTON,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,ASTON,-,,,,104,,,,,,
Banc de Guérande,Éolien en mer,WIND_OFFSHORE,,SAINT NAZAIRE,-,,,,480,,,,,,
BATHIE 1,Hydraulique lacs,HYDRO_WATER_RESERVOIR,,BATHIE,1,,,,100,,,,,,
BATHIE 2,Hydraulique lacs,HYDRO_WATER_RESERVOIR,,BATHIE,2,,,,100,,,,,,
BATHIE 3,Hydraulique lacs,HYDRO_WATER_RESERVOIR,,BATHIE,3,,,,100,,,,,,
BATHIE 4,Hydraulique lacs,HYDRO_WATER_RESERVOIR,,BATHIE,4,,,,100,,,,,,
BATHIE 5,Hydraulique lacs,HYDRO_WATER_RESERVOIR,,BATHIE,5,,,,100,,,,,,
BATHIE 6,Hydraulique lacs,HYDRO_WATER_RESERVOIR,,BATHIE,6,,,,100,,,,,,
BELLEVILLE 1,Nucléaire,NUCLEAR,,BELLEVILLE,1,,,,1310,,,,,,
BELLEVILLE 2,Nucléaire,NUCLEAR,,BELLEVILLE,2,,,,1310,,,,,,
BLAYAIS 1,Nucléaire,NUCLEAR,,BLAYAIS,1,,,,910,,,,,,
BLAYAIS 2,Nucléaire,NUCLEAR,,BLAYAIS,2,,,,910,,,,,,
BLAYAIS 3,Nucléaire,NUCLEAR,,BLAYAIS,3,,,,910,,,,,,
BLAYAIS 4,Nucléaire,NUCLEAR,,BLAYAIS,4,,,,910,,,,,,
BLENOD 5,Gaz,FOSSIL_GAS,,BLENOD,5,,,,427,,,,,,
BORT 1,Hydraulique lacs,HYDRO_WATER_RESERVOIR,,BORT,1,,,,118,,,,,,
BORT 2,Hydraulique lacs,HYDRO_WATER_RESERVOIR,,BORT,2,,,,114,,,,,,
BOUCHAIN 1,Charbon,FOSSIL_HARD_COAL,,BOUCHAIN,1,,,,250,,,,,,
