name,filiere,eicCode,plantId,reactorIndex,stage,netPower_MW
AIGLE 6,Hydraulique,17W100P100P0051S,AIGLE,6,HYDRO_WATER_RESERVOIR,146
AMFARD14,Gaz,17W100P100P03477,AMFARD,14,FOSSIL_GAS,130
AMFARD15,Gaz,17W100P100P03485,AMFARD,15,FOSSIL_GAS,130
ARRIGHI 1,Fioul,17W100P100P0031Y,ARRIGHI,1,FOSSIL_OIL,125
ARRIGHI 2,Fioul,17W100P100P0032W,ARRIGHI,2,FOSSIL_OIL,129
BATHIE 1,Hydraulique,17W100P100P03566,BATHIE,1,HYDRO_WATER_RESERVOIR,100
BATHIE 2,Hydraulique,17W100P100P03574,BATHIE,2,HYDRO_WATER_RESERVOIR,100
BATHIE 3,Hydraulique,17W100P100P03582,BATHIE,3,HYDRO_WATER_RESERVOIR,100
BATHIE 4,Hydraulique,17W100P100P03590,BATHIE,4,HYDRO_WATER_RESERVOIR,100
BATHIE 5,Hydraulique,17W100P100P0360F,BATHIE,5,HYDRO_WATER_RESERVOIR,100
BATHIE 6,Hydraulique,17W100P100P0361D,BATHIE,6,HYDRO_WATER_RESERVOIR,100
BELLEVILLE 1,Nucléaire,17W100P100P0090I,BELLEVILLE,1,NUCLEAR,1310
BELLEVILLE 2,Nucléaire,17W100P100P0091G,BELLEVILLE,2,NUCLEAR,1310
BLAYAIS 1,Nucléaire,17W100P100P0092E,BLAYAIS,1,NUCLEAR,910
BLAYAIS 2,Nucléaire,17W100P100P0093C,BLAYAIS,2,NUCLEAR,910
BLAYAIS 3,Nucléaire,17W100P100P0094A,BLAYAIS,3,NUCLEAR,910
BLAYAIS 4,Nucléaire,17W100P100P00958,BLAYAIS,4,NUCLEAR,910
BLENOD 5,Gaz,17W100P100P0173E,BLENOD,5,FOSSIL_GAS,427
BORT 1,Hydraulique,17W100P100P0052Q,BORT,1,HYDRO_WATER_RESERVOIR,118
BORT 2,Hydraulique,17W100P100P0054M,BORT,2,HYDRO_WATER_RESERVOIR,114
BOUCHAIN 7,Gaz,17W100P100P01768,BOUCHAIN,7,FOSSIL_GAS,585
BRENNILIS 1,Fioul,17W100P100P02578,BRENNILIS,1,FOSSIL_OIL,85
BRENNILIS 2,Fioul,17W100P100P02594,BRENNILIS,2,FOSSIL_OIL,85
BRENNILIS 3,Fioul,17W100P100P0033U,BRENNILIS,3,FOSSIL_OIL,134
BROMMAT 7,Hydraulique,17W100P100P0055K,BROMMAT,7,HYDRO_WATER_RESERVOIR,240
BUGEY 2,Nucléaire,17W100P100P00966,BUGEY,2,NUCLEAR,910
BUGEY 3,Nucléaire,17W100P100P00974,BUGEY,3,NUCLEAR,910
BUGEY 4,Nucléaire,17W100P100P00982,BUGEY,4,NUCLEAR,880
BUGEY 5,Nucléaire,17W100P100P01004,BUGEY,5,NUCLEAR,880
CATTENOM 1,Nucléaire,17W100P100P01012,CATTENOM,1,NUCLEAR,1300
CATTENOM 2,Nucléaire,17W100P100P0103Z,CATTENOM,2,NUCLEAR,1300
CATTENOM 3,Nucléaire,17W100P100P0104X,CATTENOM,3,NUCLEAR,1300
CATTENOM 4,Nucléaire,17W100P100P0105V,CATTENOM,4,NUCLEAR,1300
CHASTANG 2,Hydraulique,17W100P100P0049F,CHASTANG,2,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,105
CHASTANG 3,Hydraulique,17W100P100P0050U,CHASTANG,3,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,106
CHEYLAS 1,Hydraulique,17W100P100P0056I,CHEYLAS,1,HYDRO_PUMPED_STORAGE,259
CHEYLAS 2,Hydraulique,17W100P100P0057G,CHEYLAS,2,HYDRO_PUMPED_STORAGE,259
CHINON 1,Nucléaire,17W100P100P0106T,CHINON,1,NUCLEAR,905
CHINON 2,Nucléaire,17W100P100P0107R,CHINON,2,NUCLEAR,905
CHINON 3,Nucléaire,17W100P100P0108P,CHINON,3,NUCLEAR,905
CHINON 4,Nucléaire,17W100P100P0109N,CHINON,4,NUCLEAR,905
CHOOZ 1,Nucléaire,17W100P100P01101,CHOOZ,1,NUCLEAR,1500
CHOOZ 2,Nucléaire,17W100P100P0112Y,CHOOZ,2,NUCLEAR,1500
CIVAUX 1,Nucléaire,17W100P100P0113W,CIVAUX,1,NUCLEAR,1495
CIVAUX 2,Nucléaire,17W100P100P0114U,CIVAUX,2,NUCLEAR,1495
COCHE 5,Hydraulique,17W100P100P20746,COCHE,5,HYDRO_PUMPED_STORAGE,240
COMBE D'AVRIEUX 1,Hydraulique,17W100P100P00893,COMBE D'AVRIEUX,1,HYDRO_WATER_RESERVOIR,123
COMBIGOLFE CCG,Gaz,17W100P100P01679,COMBIGOLFE CCG,-,FOSSIL_GAS,425
CORDEMAIS 4,Charbon,17W100P100P0017S,CORDEMAIS,4,FOSSIL_HARD_COAL,580
CORDEMAIS 5,Charbon,17W100P100P0018Q,CORDEMAIS,5,FOSSIL_HARD_COAL,580
Croix-de-Metz,Gaz,17W100P100P00123,CROIX DE METZ,-,FOSSIL_GAS,445
CRUAS 1,Nucléaire,17W100P100P0115S,CRUAS,1,NUCLEAR,915
CRUAS 2,Nucléaire,17W100P100P0116Q,CRUAS,2,NUCLEAR,915
CRUAS 3,Nucléaire,17W100P100P0118M,CRUAS,3,NUCLEAR,915
CRUAS 4,Nucléaire,17W100P100P0119K,CRUAS,4,NUCLEAR,915
CYCOFOS PL1,Gaz,17W100P100P03388,CYCOFOS ,-,FOSSIL_GAS,428
DAMPIERRE 1,Nucléaire,17W100P100P0120Z,DAMPIERRE,1,NUCLEAR,890
DAMPIERRE 2,Nucléaire,17W100P100P0121X,DAMPIERRE,2,NUCLEAR,890
DAMPIERRE 3,Nucléaire,17W100P100P0122V,DAMPIERRE,3,NUCLEAR,890
DAMPIERRE 4,Nucléaire,17W100P100P0123T,DAMPIERRE,4,NUCLEAR,890
DIRINON 1,Fioul,17W100P100P0262F,DIRINON,1,FOSSIL_OIL,85
DIRINON 2,Fioul,17W100P100P0264B,DIRINON,2,FOSSIL_OIL,85
DK6-TG1,Gaz,17W100P100P0330O,DK6,-,FOSSIL_GAS,167
DK6-TG2,Gaz,17W100P100P0332K,DK6,-,FOSSIL_GAS,167
DK6-TV1,Gaz,17W100P100P0331M,DK6,-,FOSSIL_GAS,231
DK6-TV2,Gaz,17W100P100P0333I,DK6,-,FOSSIL_GAS,231
EMILE HUCHET 6,Charbon,17W100P100P0005Z,EMILE HUCHET,6,FOSSIL_HARD_COAL,595
FLAMANVILLE 1,Nucléaire,17W100P100P0126N,FLAMANVILLE,1,NUCLEAR,1330
FLAMANVILLE 2,Nucléaire,17W100P100P0127L,FLAMANVILLE,2,NUCLEAR,1330
FR-GA-MORANT1,Gaz,17W100P100P00122,GA MORANT,-,FOSSIL_GAS,420
GENNEVILLIERS 1,Gaz,17W100P100P0037M,GENNEVILLIERS,1,FOSSIL_GAS,203
GOLFECH 1,Nucléaire,17W100P100P0128J,GOLFECH,1,NUCLEAR,1310
GOLFECH 2,Nucléaire,17W100P100P0129H,GOLFECH,2,NUCLEAR,1310
GRAND MAISON 1,Hydraulique,17W100P100P0059C,GRAND MAISON,1,HYDRO_PUMPED_STORAGE,152
GRAND MAISON 10,Hydraulique,17W100P100P0058E,GRAND MAISON ,10,HYDRO_PUMPED_STORAGE,170
GRAND MAISON 11,Hydraulique,17W100P100P0060R,GRAND MAISON ,11,HYDRO_PUMPED_STORAGE,157
GRAND MAISON 12,Hydraulique,17W100P100P0062N,GRAND MAISON ,12,HYDRO_PUMPED_STORAGE,170
GRAND MAISON 2,Hydraulique,17W100P100P0061P,GRAND MAISON,2,HYDRO_PUMPED_STORAGE,152
GRAND MAISON 3,Hydraulique,17W100P100P0063L,GRAND MAISON,3,HYDRO_PUMPED_STORAGE,152
GRAND MAISON 4,Hydraulique,17W100P100P0064J,GRAND MAISON,4,HYDRO_PUMPED_STORAGE,152
GRAND MAISON 5,Hydraulique,17W100P100P0065H,GRAND MAISON,5,HYDRO_PUMPED_STORAGE,152
GRAND MAISON 6,Hydraulique,17W100P100P0066F,GRAND MAISON,6,HYDRO_PUMPED_STORAGE,152
GRAND MAISON 7,Hydraulique,17W100P100P0067D,GRAND MAISON,7,HYDRO_PUMPED_STORAGE,152
GRAND MAISON 8,Hydraulique,17W100P100P0068B,GRAND MAISON,8,HYDRO_PUMPED_STORAGE,152
GRAND MAISON 9,Hydraulique,17W100P100P00699,GRAND MAISON,9,HYDRO_PUMPED_STORAGE,157
GRAVELINES 1,Nucléaire,17W100P100P0130W,GRAVELINES,1,NUCLEAR,910
GRAVELINES 2,Nucléaire,17W100P100P0131U,GRAVELINES,2,NUCLEAR,910
